desagradar desaguar
querido querido
queroseno querosene
querubín querubim
quermes kilo
querencia querência
querer querer
querella querela
quejido queixa
quema queima
quemadura queimadura
quemar queimar
quejumbre queixume
quejoso queixoso
quehacer ocupação
queja queixa
queima -roupa
quedo calado
quedar icar
qualificação calificar
quantidade cantina
quase casino
quebrantar quebrantar
quando cuándo
quantia cuánto
qualitativo cuán
qualificar calificativo
qualificativo californiano
qualificado cualificar
porcaria marrano
profuso profuso
príncipe príncipe
página página
pícaro pícaro
quadrado cuadrangular
quadricular cuadriga
quadrilha cuadrúpedo
quadruplicar cuajada
quadrúpede cuadruplicar
quadrilátero cuadrilla
quadriga cuadrilátero
quadrangular cuadratura
quadratura cuadricular
pôr pontifical
púdico pudico
púlpito púlpito
púrpura púrpura
público público
pólen policía
pólvora polvoriento
pórtico portorriqueño
pólo polución
píldora pílula
pó pólvora
párrafo parágrafo
pérfido pérfido
pésimo péssimo
pétalo pétala
pérgola pérgula
pânico pânico
péndulo pêndulo
párroco pároco
pálido pálido
páramo páramo
pájaro pássaro
pueril pueril
puntapié pontapé
puritanismo puritanismo
puérpera puérpera
puñalada punhalada
pábulo pacer
puño punho
puñal punhal
pusilanimidad pusilanimidade
putrefacción putrefação
puxão tiroteo
puta puta
purpúreo purpúreo
pus pus
puritano puritano
pureza pureza
purgatorio purgatório
purificar purificar
purgante purgante
puntual pontual
pupila pupila
pupilo pupilo
puntualidad pontualidade
punto ponto
puntuación pontuação
puntería pontaria
pulpa polpa
punición punição
punitivo punitivo
punta ponta
punir punir
pulso pulso
pulverizar pulverizar
pulsera pulseira
pulpo polvo
pulga pulga
pulir polir
pulmón pulmão
pulmonar pulmonar
pulgar polegar
pulgada polegada
pues pois
pujar puxar
puesto colocado
puerto porto
puerta porta
psicópata psicopata
pubis púbis
pudor pudor
pueblo povo
puente ponte
pudrir apodrecer
publicar publicar
publicidad publicidade
publicación publicação
psiquiatría psiquiatria
pubertad puberdade
psíquico siquiera
psiquiatra psiquiatra
psiquiatria síquico
próstata próstata
psicología psicologia
psicopatia sicosis
psicoterapia sida
psicólogo psicólogo
psicose sicoterapia
psicopata sicopatía
próximo próximo
pseudônimo severidad
prórroga prorrogação
próspero próspero
prójimo próximo
prólogo prólogo
pródigo pródigo
propuesta proposta
protocolo protocolo
provincia província
proyección projeção
práctica prática
práctico prático
préstamo mpréstimo
prudente prudente
prueba prova
proyectil projétil
provocación provocação
proxeneta proxeneta
proximidad proximidade
provocar provocar
provisional provisório
provisão sumir
proveedor provedor
proverbio provérbio
providencia providência
provenzal provençal
proverbial proverbial
proveer prover
provecho proveito
provechoso proveitoso
protuberancia protuberância
protuberante protuberante
prototipo protótipo
prosperidad prosperidade
protección proteção
protestar protestar
protesto protesta
protestante protestante
protestantismo protestantismo
proteger proteger
prostíbulo prostíbulo
protagonista protagonista
prostituir prostituir
prostituta prostituta
prostitución prostituição
proseguir prosseguir
prospecto prospecto
prosperar prosperar
prosopopeya prosopopéia
prospección prospecção
prosodia prosódia
prosaico prosaico
proscrito proscrito
prorrogar prorrogar
prosa prosa
propósito propósito
promover promover
propensión propensão
propina propina
proporcionar proporcionar
proposición proposição
proponer propor
proporcional proporcional
propio próprio
propiedad propriedade
propietario proprietário
propiciar propiciar
propicio propício
propenso propenso
pronuncia pronúncia
propaganda propaganda
propalar propalar
pronóstico prognóstico
propagación propagação
pronunciar pronunciar
prontitud prontidão
pronto pronto
pronombre pronome
pronosticar prognosticar
promulgar promulgar
proliferación proliferação
promesa promessa
promocionar promover
promoción promoção
promiscuidad promiscuidade
promiscuo promíscuo
prometer prometer
prolongar prolongar
promedio édia
prolijo prolixo
prolongación prolongamento
proliferar proliferar
prohibición proibição
proletariado proletariado
proletario proletário
prolación prolação
prole prole
prohibir proibir
progresar progredir
progresión progressão
programación programação
programar programar
programa programa
preludio prelúdio
primaveral primaveril
procurador apodo
profecía profecia
profundo profundo
profusión profusão
profeta profeta
profundidad profundidade
proferir proferir
producto produto
profanar profanar
profano profano
proeza proeza
profanación profanação
productor produtor
producir produzir
productivo produtivo
prodigio prodígio
producción produção
procurar procurar
prisma prisma
probable provável
procesar processar
proclamar proclamar
procreación procriação
procrear procriar
procrastinar procrastinar
proceso processo
proclamación proclamação
procesión procissão
probo probo
proceder proceder
procesamiento processamento
procedencia procedência
problema problema
problemático problemático
probar provar
privilegio privilégio
proa proa
probabilidad probabilidade
pro pró
privatización privatização
privatizar privatizar
privar privar
principiante principiante
prioridad prioridade
prisionero prisioneiro
prisión prisão
prisa pressa
prior prior
priora prioresa
principio princípio
primor primor
princesa princesa
principal principal
primoroso primoroso
primitivo primitivo
primogénito primogênito
primer primeiro
presunto japonés
prevalecer prevalecer
previo prévio
preámbulo preâmbulo
primacía primazia
primavera primavera
preñez prenhez
previsible previsível
previsión previsão
prevención prevenção
prever prever
prevenir prevenir
prevaricar prevaricar
prevaricación prevaricação
presépio belga
pretensión pretensão
pretexto pretexto
preterir preterir
pretendiente pretendente
pretender pretender
presuponer pressupor
presupuesto pressuposto
presurizar pressurizar
presupuestar orçar
presuntuoso presunçoso
presagio presságio
preservativo preservativo
presión pressão
prestigio prestígio
presumir presumir
presunción presunção
presteza presteza
prestigiar prestigiar
prestar mprestar
presidir presidir
presionar pressionar
presidente presidente
presidio presídio
presidencia presidência
presentar apresentar
presentimiento pressentimento
preservación preservação
preservar preservar
presentir pressentir
presente presente
presentear regalía
presenciar presenciar
presentación apresentação
prescribir prescrever
prescripción prescrição
prescindir prescindir
preparación aração
preposición osição
prerrogativa prerrogativa
presa presa
prepotente otente
prepucio úcio
prepotencia otência
preponderar onderar
preponer or
preponderancia onderância
preponderante onderante
preparar arar
premonición premonição
prenuncio prenúncio
preocupación preocupação
prensa prensa
prensar prensar
prender prender
premio prêmio
premisa premissa
premeditar premeditar
premiar premiar
prematuro prematuro
pouco podar
predilección predileção
preferencia preferência
preguntar perguntar
prelado prelado
preliminar preliminar
prejuicio preconceito
prejuzgar prejulgar
pregón pregão
prefijar prefixar
pregonar apregoar
preferible preferível
preferir preferir
preferente preferente
predominar predominar
prefacio prefácio
prefecto prefeito
preeminencia preeminência
preexistir preexistir
predominio predomínio
predominancia predominância
predominante predominante
predisponer predispor
predisposición predisposição
predilecto predileto
precedente precedente
precocidad precocidade
predecesor predecessor
predicado predicado
predicamento predicamento
predestinación predestinação
predestinar predestinar
predecir predizer
precoz precoce
precursor precursor
preconización preconização
preconizar preconizar
preconcebir preconceber
precipicio precipício
precisión precisão
preciso preciso
precipitar precipitar
precisar precisar
precipitación precipitação
preciosidad preciosidade
precioso precioso
precepto preceito
preciar apreciar
preceder preceder
prancha planear
praça plazo
prece pleitear
precedencia precedência
precaución precaução
precaver precaver
precario precário
prazer placer
prazo plebe
prazeroso placer
prata plataforma
prato platónico
practicable praticável
praga plagiar
praia plaza
pragmatismo pragmatismo
pradera pradaria
prado prado
practicar praticar
povoação poblar
poção poco
pozo poço
pousada pose
povoar pobreza
possuir posesión
postrar prostrar
potencia potência
potente potente
potestad potestade
potro potro
potentado potentado
postura postura
potable potável
postre obremesa
posteridad posterior
postiço posto
postración prostração
posterior postizo
poste postergar
postergar posteridad
possível posición
porção pordiosero
possessivo poseso
possessão posesivo
possibilidade posible
possesso posibilidad
posicionamento positivo
posição posicionamiento
pospor poste
positivo posponer
pose poseer
porte portear
portoriquenho portugués
porvir posada
porão sotavento
português porvenir
portento portentoso
portentoso portería
porteiro pórtico
portal portar
portar portento
portaria portero
porosidade poroso
porque porquería
porrete porrada
poroso porque
pornográfico poro
poro porosidad
pornografia pornográfico
perante anteayer
petrolero petroleiro
piscar guirnalda
polemizar polen
polêmico polemizar
pompa pomposo
pontífice pontificio
popularidade populista
populista populoso
populoso por
populacho popular
popular popularidad
popa populacho
ponderação ponderar
pontifical pontífice
pontifício ponzoña
ponderável ponderación
pomposo ponderable
ponderar poner
político polivalencia
pomelo pomo
pomo pompa
pomada pomelo
polígamo políglota
política político
polícia poligamia
politeísmo politeísta
polivalente póliza
polivalência polivalente
poluição polvo
politeísta política
poliglota polisílabo
polissilábico politeísmo
poligamia polígamo
pitoresco pintura
poderoso podredumbre
poesia poetisa
polaco polar
polar polémico
poetisa polaco
podridão podrido
poema poesía
poeirento pomada
podre podrir
pobreza poción
poder poder
poderio poderoso
podar poder
piña abacaxi
piñón pinhão
piélago pélago
pista pistacho
pistola pistolero
pistoleiro pistón
pistão placentero
pistache pistola
piscina piso
piso pista
piscicultura piscina
pináculo pináculo
pira pirámide
pirataria pirueta
pirâmide piraña
piscada guiñar
pisada piscicultura
pirueta pisada
pires plato
pirata piratería
piranha pirata
pioneiro pipa
pipi pira
pipa pipí
pinçar piojo
piolho pionero
pinça pinzar
pigmeo pigmeu
pino pinheiro
pintar pintar
pintor pintoresco
pintura pinza
pintalabios batom
pinta pinta
pimiento pimenteiro
pingüino pingüim
pinchar picar
pillar pilhar
pimentón pimentão
pimienta pimenta
piloto piloto
pila pilha
pillaje pilhagem
pijama pijama
picar picar
pieza peça
pigmentar pigmentar
pigmento pigmento
pigmentación pigmentação
piedad piedade
piel pele
pierna perna
piedra pedra
pico pico
pie pé
picardía picardia
peña penha
piano piano
picante picante
peón peão
piadoso piedoso
peñasco penhasco
petulante petulante
pez peixe
peçonha popa
peyorativo pejorativo
petróleo petróleo
petulancia petulância
petrolífero petrolífero
permisible permissível
peru gallo
pesimista pessimista
peste peste
petrificación petrificação
petrificar petrificar
petición petição
pessoa personaje
pestaña pestana
pestañear pestanejar
pessoal personalidad
peso peso
pesquero pesqueiro
perístasis perístase
pescar pescar
pesimismo pessimismo
peseta peseta
pesca pesca
pescador pescador
pescado pescado
pesaroso pesaroso
pesadelo pesar
perífrasis perífrase
perímetro perímetro
período período
perversidade perversión
perversão perverso
perverter pesadilla
perverso pervertir
peruano perversidad
persa. persecución
persistência persistente
persuadir persuasión
pertinente perturbación
perturbar peruano
perturbação perturbar
pertinência pertinente
persuasão persuasivo
pertencer pertinencia
persuasivo pertenecer
personalizar perspectiva
perspicaz persuadir
perspicácia perspicaz
perspectiva perspicacia
personalidade personalista
personalista personalizar
personagem personal
perseverança perseverante
persistente persistir
persistir persona
perseverar persistencia
perseguição perseguir
perseverante perseverar
perseguir perseverancia
perpendicular perpendicular
perpetuo perpétuo
perplejo perplexo
perro persa
perplejidad perplexidade
perpetrar perpetrar
perpetuar perpetuar
perpetración perpetração
permutar permutar
pernoctar pernoitar
pero porém
pernil pernil
permiso permissão
permuta permuta
permisión permissão
perfumería perfumaria
perjudicial prejudicial
perla pérola
permanencia permanência
permanente permanente
permanecer permanecer
perjurar perjurar
perjurio perjúrio
perjuicio prejuízo
periodicidad periodicidade
periscopio periscópio
perito perito
perjudicar prejudicar
periscópico periscópico
peripecia peripécia
periplo périplo
periodista jornalista
periférico periférico
perigeo perigeu
pericia perícia
periferia periferia
pergamino pergaminho
perezoso preguiçoso
perforación perfuração
perfumar perfumar
perfume perfume
perforar perfurar
perfección perfeição
perfidia perfídia
perfil perfil
perfecto perfeito
perfeccionar aperfeiçoar
perfeccionista perfeccionista
perdurable perdurável
peregrino peregrino
perenne perene
pereza preguiça
perejil perrexil
perecer perecer
peregrinaje peregrinação
peregrinar peregrinar
peregrinación peregrinação
perdón perdão
perecedero perecível
perdurar perdurar
percutir percutir
perdiz perdiz
perdulario perdulário
perdonar perdoar
perder perder
perdición perdição
perdedor perdedor
percibir perceber
percusión percussão
percentual porción
percepción percepção
percentagem porcentual
pastar paciencia
pediatría pediatria
pellizcar beliscar
penitente penitente
pensión pensão
península península
pequeñez pequenez
pera pêra
peral pereira
pequeño pequeno
peor pior
pepinar pepinal
penúltimo penúltimo
penumbra penumbra
penuria penúria
pensar pensar
pensativo pensativo
pensionista pensionista
pensador pensador
pensamiento pensamento
penoso penoso
pender pender
penetrar penetrar
peninsular peninsular
penitencia penitência
penicilina penicilina
pene pênis
penetración penetração
pendular pendular
peludo peludo
penalidad penalidade
pendencia pendência
pena pena
pelo pêlo
peluca peruca
pellizco beliscão
peine pente
pelear pelejar
peligro perigo
pelirrojo ruivo
pelicano boticão
pelar pelar
pelea peleja
pelaje pelagem
pegajoso pegajoso
peinado penteado
peinar pentear
pegar pregar
pedrada pedrada
pedúnculo pedúnculo
pegadizo pegajoso
pedregoso pedregoso
pedir pedir
pedo peido
pedido pedido
pavilhão pablar
peculiaridad peculiaridade
pedante pedante
pederasta maridaje
pedestal pedestal
pediatra pediatra
pederastia pederastia
pedazo pedaço
pedaço trucha
pedagogía pedagogia
pedagógico pedagógico
pecunia pecúnia
pedagogo pedagogo
peculio pecúlio
pañal cueiro
pecar pecar
pechuga peito
peculiar peculiar
pecho peito
peatón pedestre
pecador pecador
pecaminoso pecaminoso
pecado pecado
pañuelo lenço
peaje pedágio
paño pano
pavón pavão
payaso palhaço
país país
paz paz
payasada palhaçada
pavo peru
pavor pavor
pavoroso pavoroso
pavimentar pavimentar
pavimentación pavimentação
patriarca patriarca
patriota patriota
patrón patrão
pausar pausar
pautar pauta
pava perua
pauta pauta
paulatino paulatino
pausa pausa
patíbulo patíbulo
patrocinio patrocínio
patrullar patrulhar
patrullero patrulheiro
patrulla patrulha
patriótico patriótico
patrocinar patrocinar
patriotismo patriotismo
patrimonial patrimonial
patrio pátrio
patrimonio patrimônio
patriarcal patriarcal
patricio patrício
patriarcado patriarcado
paternidad paternidade
patio pátio
patraña patranha
patria pátria
pato pato
patilla costeleta
patinar patinar
paterno paterno
patada patada
patentar patentear
paternal paternal
patata batata
pastor pastor
pata pata
pasto pasto
paralelepípedo adorable
parvoíce ñu
pase passe
pasionaria aracujá
paso passo
pasquín pasquim
pasivo passivo
paseo passeio
pasillo corredor
pasear passear
pasado passado
pasar passar
pascua páscoa
pascual pascal
pasatiempo passatempo
pasajero passageiro
pasaporte passaporte
pasaje passagem
parásito parasita
pasa passa
pasadizo passadiço
paréntesis parêntese
parálisis paralisia
parámetro parâmetro
parábola parábola
parodia paródia
participar participar
partidario partidário
parto parto
partícipe partícipe
partícula partícula
parturienta parturiente
partitura partitura
partir partir
particular particular
partida partida
particularidad particularidade
partición partição
participio particípio
parricida parricida
parroquial paroquial
participación participação
parte parte
parrilla grelha
parroquia paróquia
parricidio parricídio
parpadear piscar
parque parque
parra parra
parpadeo piscada
parolar pábulo
paroxismo paroxismo
parodiar parodiar
parcialidad parcialidade
paridad paridade
parlamentar parlamentar
parlante alante
parlar palrar
parlamento parlamento
pariente parente
parir parir
parienta parente
pared parede
parentesco parentesco
paria pária
paredón paredão
pardo pardo
parecer parecer
parco parco
paraíso paraíso
parcelar parcelar
parcial parcial
parcela parcela
paralítico paralítico
parapeto parapeito
parapléjico paraplégico
parangón comparação
paralización paralisação
paralizar paralisar
paralelo paralelo
pantalla tela
papiro papiro
par par
paradigma paradigma
parafrasis paráfrase
paraguayo paraguaio
paraje paragem
paragonar parangonar
paradoja paradoxo
parafrasear parafrasear
paradisíaco paradisíaco
parada parada
paradero paradeiro
para hada
papá papai
paquidermo paquiderme
paquistaní paquistanês
paquete pacote
papirote piparote
papo papo
panzudo pançudo
papagayo papagaio
papelería papelaria
papal papal
papa papa
papado papado
pançudo tripulación
panteón panteão
pantorrilla panturrilha
panza pança
pantomima pantomima
pantanoso pantanoso
pantera pantera
pantalón calças
paliza urra
pampa pampa
panecillo pão
panocha spiga
panorama panorama
panorámico panorâmico
panoplia panóplia
panela olmo
panfleto panfleto
panel painel
panadería padaria
panameño panamenho
panal panal
panadero padeiro
pan pão
palomita pipoca
palpitación palpitação
palustre palustre
palpitar palpitar
palpar apalpar
palomo pombo
palmo palmo
paloma pomba
palo pau
palmera palmeira
palma palma
palabrota palavrão
paleontología paleontologia
palidez palidez
palio pálio
palillo palito
palidecer mpalidecer
paliativo paliativo
paladar paladar
palco camarote
palanca alavanca
palacio palácio
palaciego palaciano
pai padrino
paje pajem
palabrería palavrório
palabra palavra
pajar palheiro
paisaje paisagem
pagar pagar
pago pagamento
pagoda pagode
paginar paginar
paga pagamento
pagano pagão
padrinho paella
ncurralamento acortamiento
ole blanquear
ormol fórmula
otocópia fotocopiar
ovecentos novedad
oz nulidad
paciência paciente
padecer padecimiento
padecimento padrastro
pacífico pacifismo
pacto padecer
pacificar pacífico
pacifismo pacifista
pacifista pacto
pacificação pacificar
oção nocivo
paciente pacificación
oásis obcecar
oço sensación
overtido intruso
ovo novel
oxidar óxido
oxigenar oxígeno
oxigênio oyente
ovário oveja
ovão trueque
ovular óvulo
ovilhada becerro
ovilho novio
oviético suavidad
ovidade novedoso
oviciado noviembre
ovelesco novena
ovena noveno
oventa noviciado
ovelheiro ovular
ovembro novillada
ovelha ovejero
ovela novelesco
ovel novela
otógrafo fotolito
ouvido oír
ovacionar oval
ovação ovacionar
ove nuevo
oval ovario
ovar soberanía
ovador trovar
ouvir ojeada
ova sobamiento
ouvinte ozono
ousar oscilación
outono otorgar
outrora ovación
outubro ocular
outorgar otrora
outonal otoño
outo soviético
ouro morosidad
ousadia osar
ourives orfebrería
ourivesaria orfeón
otório novecientos
oturno nódulo
otável notación
otícia notoriedad
otografia fotografiar
otomano otoñal
otoriedade notorio
otolito fracasado
otografar fotógrafo
ortuna forúnculo
osto mostrar
otim motivación
otivação motivar
otocopiar fotografía
otite otomano
otivar motivo
otimista óptimo
ostruário muestreo
otar noticia
ote trova
oterrar soto
otavento soterrar
ota notable
otaina sótano
ostálgico nota
ostracismo otitis
ostrar motín
ostra ostracismo
osca moscardón
osquito mostaza
ostarda mosto
ostentação ostentar
ostentar ostra
ossegar soso
ostalgia nostálgico
ossegado sosegar
osfato fósil
osquiteiro mosquito
oscilar ósculo
oscilação oscilar
oscardo mosquitero
orçar forzoso
osaico mosca
orçoso fosfato
orvalho rocoso
orça fugaz
orçado forzar
orvo sordera
orueguês nostalgia
ortífero mortificación
ortalecimento fortaleza
ortificação fortificar
ortografia ortográfico
ortuito fortuna
ortográfico orzuelo
ortodoxia ortodoxo
ortodoxo ortografía
ortir sus
orto muestra
ortilégio sosegado
orte fuerza
orteiro mortífero
ortificar fortuito
orteamericano noruego
orteio sortija
ortalidade mortandad
ortandade mortero
ortaleza fortificación
orosidade moroso
orro morsa
ortadela mortal
ortalecer fortalecimiento
ortal mortalidad
orsa mortadela
orridente sonrisa
orrir sonriente
orriso sonrojar
orquestra orquídea
orquídea ortiga
oroso morro
ornicação fornicador
oroeste norte
oror sorbo
oro fuerte
ornicador fornicar
ornicar fortalecer
ornamentar ornamento
ornamento oro
opção opcional
orfanato orfebre
orma formación
ormar formato
ormação formalidad
ormidável formol
ormato formidable
ormativo noroeste
ormalidade formar
ormalizar normativo
ormal normalidad
orgânico organismo
orifício origen
originar originario
oriundo orla
orla orillo
originário orilla
original originalidad
originalidade originar
origem original
orientação orientar
oriente orificio
orientar oriente
organização organizar
orgulho orgulloso
orgulhoso orientación
orgia orgullo
orgo sorprendente
organismo organización
organizar órgano
orfeão orgánico
ordem ordenación
ordeste nórdico
orelha orfanato
orense foresta
ordinário oreja
ordidez sórdido
ordenação ordenar
ordenhar ordinario
ordenar ordeñar
orango fresco
oração orador
orca orden
orbe órbita
orar oratoria
oratória orbe
orangotango orar
ora fuero
orador oral
oral orangután
opúsculo ora
onco madona
onético forense
oportuno oposición
opressão opresivo
opróbio optar
opulento opúsculo
opulência opulento
optar óptica
oprimir oprobio
opro sopor
oposto opulencia
opressivo opresor
opressor oprimir
oprar soplo
oposição opresión
oporífero soportable
operário obscenidad
opeção tronar
opor oportunidad
oportunidade oportuno
opical trópico
opo trotar
opeçar tropical
opesar soplar
opcional ópera
operação operar
opereta oponer
opelia tropezar
operar opereta
opel tropelía
opacidade opaco
opaco opción
onírico onomatopeya
opa sopesar
onífero somnolencia
ono nordeste
onte fuera
onça opacidad
onética fonético
onze oncología
onâmbulo somnífero
onolência somnoliento
onomatopéia onza
onoro sonreír
onolento son
onema fonética
onipotente onanismo
onipotência omnipotente
onhar sonda
oneto sonido
onda oleaginoso
ondar sondear
ondular onírico
ondagem soneto
oncológico onda
oncologia oncológico
oligarquia olímpico
olúvel solución
ome hambriento
omissão introvertido
onada nono
onanismo once
onambulismo somnámbulo
omitir ómnibus
omenclatura nominal
ominativo nomo
omisso omitir
ominal nominativo
omeação nombrar
omear nombre
ombra sombrear
ombrear sombrío
ombrio someter
omar sumario
ombone trombosis
ombose trompeta
ombeta trompicón
oma sumar
omadismo nombramiento
om sonambulismo
oluçar sollozo
olícito solicitud
olímpico oliva
olução solucionar
olvência sombra
oluço solo
oliveiro olla
oltar soltería
olteirão soluble
olucionar solvencia
olteiro solterón
olo suero
olstício soltar
olmo olor
olival olivera
oliveira olivo
olilóquio solitario
olitário sólito
olhada mirar
olidarizar solidez
olidário solidarizar
olidão solemnidad
olidificar sólido
olidificação solidificar
olidez solidificación
olicitar solícito
olidariedade solidario
olicitude solidaridad
olheiras ojiva
olho manopla
olheira saltamontes
oletrar delgadez
olfejar solfeo
olgazão harén
olfejo solicitar
olfato oligarquía
oleira solfear
olenidade soler
oleaginoso óleo
obrenome apenas
odoso nuera
ofertar oficial
oja sojuzgar
olaz soldada
oldar soledad
oldo soldadura
oldadura soldar
olano solapa
olarengo solaz
ol solano
ola sueldo
ogo fuente
oite noción
oito ocio
oivo nube
oitenta ocho
ogueira nómada
oitavo octubre
ogro suela
ofuscar oído
ofício ofrecer
ogiva ojo
oglodita trombón
ofá sofocante
oféu troglodita
oftalmologia oftalmólogo
oftalmologista ofuscar
oficial oficina
oficina talo
ofensivo oferta
oferecimento ofrenda
oferta ofertar
oferenda oftalmología
oferecer ofrecimiento
oeste ofender
ofensa ofensiva
ofensiva ofensivo
ofender ofensa
oez sofá
oduzir intromisión
odução introducir
oer solera
odre oeste
ocar caño
octâmbulo nocturno
oder jornada
odomia sodomita
odontologia odre
odomita soez
odioso odisea
odisséia odontología
odiar odio
ocultação ocultar
ocupar ocurrencia
ode odiar
oda sódico
oculto ocupar
oculista ocultación
ocultar oculto
ocular oculista
ocidental occidente
ocivo noctámbulo
ocorrer oda
ocorrência ocurrir
ocre octavo
ocorro soda
ociólogo socorrer
ociável social
ociosidade ocioso
ocioso ocre
ociedade socio
ociologia sociólogo
ocidente occipital
oceano oceanografia
ocialismo socialista
ocializar sociedad
ocialização socializar
ocialista socialización
oceânico océano
ocial socialismo
oceanografia ochenta
ocaso occidental
occipital oceánico
ocasião ocaso
obrigatoriedade obligatorio
obstinação obstinado
obstáculo obstinación
obtuso obús
oca trufa
ocapa sociable
obus oca
obtenção obturar
obturar obtuso
obséquio observación
obstrução obstruir
obstruir obtención
obsequiar obsequio
observação observar
obsessão obsesionar
obstinado obstrucción
obsessivo obstáculo
observar observatorio
observatório obsesión
obrigação obligar
obscenidade obscurecer
obscuro óseo
obrinho sobrio
obrigatório oboe
obressalto sobrevivir
obreza noche
obrigado gracioso
obrigar obligatoriedad
obriedade sobrino
obrevivência superviviente
obrevoar sobriedad
obreviver sobrevolar
obrevivente suplantar
obressalente sobresaltar
obressaltar sobresalto
obrepor sobrepujar
obrepujar sobresaliente
obrepeliz sobreponer
ngenhoso ingenuidad
obediência obediente
objetividade objetivo
obra obrar
obrecarregar sobremodo
obremodo sobrenatural
obrenatural sobrentender
obre nobleza
obrecarga sobrecargar
obrar sobre
objeção objetar
oblíquo obligación
oboé obra
obliqüidade oblicuo
objetivo objeto
objeto oblicuidad
obiliar mueble
objetar objetividad
obituário objeción
oberba soberbio
obesidade obeso
obeso óbice
oberbo sobornar
oberania soberbia
obelisco obesidad
náusea áusea
néctar éctar
obedecer obediencia
obediente obelisco
ob soba
obcecar obedecer
oar soñar
náutico áutico
náutica áutica
nviesar sesgo
nxertar injerto
nácar ácar
náufrago áufrago
nxerto injuria
nxaqueca jarabe
nsaboar jade
nterro septenario
nvelope sobrecama
njôo marfil
nroscar rosco
nenúfar enúfar
neófito eófito
ngenharia ingeniero
ngenho ingenioso
ngenheiro ingenio
nfeitiçar hechizo
nervioso ervoso
neurología eurologia
neurálgico evrálgico
neurólogo neurosis
neumonía pneumonia
neuralgia evralgia
neto claro
nervio ervo
nerviosismo ervosismo
nepotismo epotismo
negación egação
negociar egociar
negro egro
negrura egrura
nenhuma importância
negocio egócio
negligente egligente
negociable egociável
negativa egativa
negligencia egligência
negar egar
nebuloso ebuloso
necesitar ecessitar
necio éscio
necesario ecessário
necesidad ecessidade
necedad stultice
ndividar adherencia
neblina eblina
ncurtar acosado
ndinheirado adiposo
ncurtamento acortar
mando ando
modo odo
mordaza ordaça
mártir ártir
nacer ascer
naturalidad aturalidade
navegación avegação
navidad atal
nazismo azismo
ncanador cánfora
ncanamento cañero
nazista azista
navío avio
navideño atalino
navegar avegar
navegante avegante
naufragio aufrágio
navaja avalha
nave ave
naval aval
nauta auta
nauseabundo auseabundo
naturismo aturismo
naufragar aufragar
naturista aturalista
naturalizar aturalizar
naturalista aturalista
naranjada laranjada
natal atal
nativo ativo
naturaleza atureza
natural atural
natividad atividade
natalidad atalidade
narrativo arrativo
nata ata
nasal asal
narrar arrar
naranjal narcótico
nación ação
nalga ádega
naranja laranja
nao au
nadar adar
nadador adador
nacionalidad acionalidade
nacionalista acionalista
nacionalizar acionalizar
nacimiento ascimento
nacional acional
naciente ascente
mínima ínima
módulo ódulo
música úsica
nabo abo
músico úsico
móvil óvel
mórbido órbido
místico ístico
módico ódico
mítico ítico
mística ística
mínimo ínimo
médico édico
mérito érito
mímico ímico
método étodo
médula edula
médium édium
mástil astro
máximo áximo
máxima áxima
máscara áscara
más ais
murciélago orcego
musical usical
mutación utação
mutilar utilar
mutismo utismo
mutuo útuo
mutilación utilação
musulmán uçulmano
mutable utável
muslo coxa
musaraña ussaranha
museo useu
musgo usgo
muscular uscular
murmurar urmurar
musa usa
murmullo urmúrio
motriz otriz
movimiento ovimento
muchacho muchedumbre
mural ural
muralla uralha
munición unição
mpestar apetecer
mpilhar apiñar
mozo oço
movilidad obilidade
movilizar obilizar
movilización obilização
mover over
movedizo ovediço
morfológico orfológico
morisco moro
motor otor
motocicleta otocicleta
morir orrer
moribundo oribundo
morder order
morfina orfina
moreno oreno
mordedura ordedura
mordedor ordedor
monje onge
monárquico onárquico
moral oral
moralizar oralizar
mordaz ordaz
morar orar
moralista oralista
moralidad oralidade
monótono onótono
morada orada
mora amora
monólogo onólogo
monástico onástico
montante ontante
monte onte
montón ontão
monumento onumento
monzón onção
monumental onumental
montería ontaria
montés ontês
montepío ontepio
montañoso ontanhoso
montañés ontanhês
montar ontar
monstruosidad onstruosidade
monta onta
monstruoso onstruoso
monopolizar onopolizar
monseñor onsenhor
monstruo onstro
monosílabo onossílabo
monografia onografia
monopolio onopólio
mono bonito
monarca onarca
monería acaquice
monitor onitor
monja onja
mongol ongol
mongolismo ongolismo
monetario onetário
mondo limpo
moneda oeda
monasterio osteiro
mondar ondar
monarquía onarquia
molesto olesto
molécula olécula
momificación umificação
monada acacada
momificar umificar
momia úmia
momentáneo omentâneo
molinete olinete
mollera oleira
molusco olusco
molino oinho
molinero oleiro
mojar olhar
molestar olestar
molestia oléstia
molde olde
moler oer
moldar oldar
modular odular
moho ofo
mofar ofar
modulación odulação
modorra odorra
mentecato entecapto
migración igração
minotauro inotauro
moderar oderar
modestia odéstia
modificar odificar
modista odista
modismo odismo
modificación odificação
modesto odesto
modernización odernização
moderno oderno
modernizar odernizar
modernista odernista
modernismo odernismo
mito ito
mocoso ucoso
modelar odelar
moderación oderação
modelo odelo
modalidad odalidade
moda oda
mocedad ocidade
moco uco
moción oção
mixto isto
mitológico itológico
misticismo isticismo
mitad etade
mitigar itigar
mitigación itigação
mistral istral
mistificar istificar
minúsculo inúsculo
misterioso isterioso
mismo esmo
minuto miope
minucioso inucioso
mina ina
minimizar inimizar
minorar inorar
